time,drivetrain,elevator,grabber
0.019891999999999577,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.03979599999999994,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.0602999999999998,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.08029799999999998,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.09823999999999966,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.11937399999999965,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.139011,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.1612309999999999,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.1788419999999995,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.19879599999999975,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.2192759999999998,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.2397279999999995,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.26046499999999995,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.2804929999999999,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.30049499999999973,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.3196179999999993,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.34130099999999963,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.3599099999999993,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.3774539999999993,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.39982899999999955,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.4190289999999992,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.43937699999999946,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.4609019999999999,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.48098299999999927,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.49737799999999943,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.5208979999999999,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.5371759999999997,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.5608069999999996,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.580031,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.5980819999999998,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
0.6190979999999993,"{""pending_gear"": true, ""pending_differential_drive"": [0.0, -0.0, true, false]}","{""pending_position"": null}","{""pending_state"": 0}"
